src/bot/handlers/wizard_text_handler.py:321: unexpected indent at "return"
src/api/routers/cache.py:82: unused function 'invalidate_cache_pattern' (60% confidence)
src/api/routers/cache.py:118: unused function 'clear_cache' (60% confidence)
src/api/routers/dashboard.py:11: unused function 'admin_dashboard' (60% confidence)
src/api/routers/dashboard.py:13: unused variable 'current_admin' (100% confidence)
src/api/routers/efectivos_mock.py:41: unused function 'mock_efectivos' (60% confidence)
src/api/routers/geo.py:45: unused function 'map_view' (60% confidence)
src/api/routers/health.py:36: unused function 'detailed_health_check' (60% confidence)
src/api/routers/health.py:97: unused function 'readiness_check' (60% confidence)
src/api/routers/health.py:123: unused function 'liveness_check' (60% confidence)
src/api/routers/health.py:134: unused function 'performance_metrics' (60% confidence)
src/api/routers/health.py:158: unused function 'government_health_check' (60% confidence)
src/api/routers/metrics.py:22: unused function 'prometheus_metrics' (60% confidence)
src/api/routers/statistics.py:27: unused function 'get_user_statistics' (60% confidence)
src/api/routers/statistics.py:182: unused function 'invalidate_user_statistics' (60% confidence)
src/api/routers/tasks.py:66: unused variable 'assigned_efectivo_id' (60% confidence)
src/api/routers/tasks.py:72: unused function 'read_tasks' (60% confidence)
src/api/routers/tasks.py:107: unused function 'create_emergency' (60% confidence)
src/api/routers/tasks.py:204: unused function 'read_task_by_id' (60% confidence)
src/api/routers/tasks.py:222: unused function 'update_task' (60% confidence)
src/api/routers/tasks.py:250: unused function 'delete_task' (60% confidence)
src/api/routers/telegram_auth.py:50: unused function 'authenticate_telegram_user' (60% confidence)
src/api/routers/telegram_auth.py:97: unused function 'get_telegram_user_auth' (60% confidence)
src/api/routers/telegram_auth.py:143: unused function 'verify_token' (60% confidence)
src/api/routers/telegram_tasks.py:12: unused import 'or_' (90% confidence)
src/api/routers/telegram_tasks.py:30: unused function 'create_task_from_telegram' (60% confidence)
src/api/routers/telegram_tasks.py:113: unused function 'finalize_task_by_code' (60% confidence)
src/api/routers/telegram_tasks.py:200: unused function 'get_user_tasks_by_telegram' (60% confidence)
src/api/routers/telegram_tasks.py:265: unused function 'get_task_by_code' (60% confidence)
src/api/routers/users.py:26: unused function 'read_users' (60% confidence)
src/api/routers/users.py:40: unused function 'create_user' (60% confidence)
src/api/routers/users.py:60: unused function 'read_user_me' (60% confidence)
src/api/routers/users.py:70: unused function 'read_user_by_id' (60% confidence)
src/api/routers/users.py:88: unused function 'update_user' (60% confidence)
src/api/routers/usuarios.py:20: unused import 'cache_and_invalidate' (90% confidence)
src/api/routers/usuarios.py:20: unused import 'cache_result' (90% confidence)
src/api/routers/usuarios.py:32: unused class 'Config' (60% confidence)
src/api/routers/usuarios.py:33: unused variable 'from_attributes' (60% confidence)
src/api/routers/usuarios.py:49: unused function 'list_usuarios' (60% confidence)
src/api/routers/usuarios.py:74: unused function 'get_usuario' (60% confidence)
src/api/routers/usuarios.py:104: unused function 'create_usuario' (60% confidence)
src/api/routers/usuarios.py:158: unused function 'update_usuario' (60% confidence)
src/api/routers/usuarios.py:210: unused function 'delete_usuario' (60% confidence)
src/api/routers/websockets.py:76: unused function 'websocket_endpoint' (60% confidence)
src/api/routers/websockets.py:383: unused function 'get_websocket_stats' (60% confidence)
src/api/routers/websockets.py:402: unused function 'test_trigger_broadcast' (60% confidence)
src/api/schemas/telegram.py:31: unused variable 'descripcion' (60% confidence)
src/api/schemas/telegram.py:33: unused variable 'ubicacion' (60% confidence)
src/api/schemas/telegram.py:34: unused variable 'asignado_a' (60% confidence)
src/api/schemas/telegram.py:36: unused function 'validate_tipo' (60% confidence)
src/api/schemas/telegram.py:37: unused variable 'cls' (100% confidence)
src/api/schemas/telegram.py:43: unused function 'validate_prioridad' (60% confidence)
src/api/schemas/telegram.py:44: unused variable 'cls' (100% confidence)
src/api/schemas/telegram.py:50: unused function 'validate_codigo_format' (60% confidence)
src/api/schemas/telegram.py:51: unused variable 'cls' (100% confidence)
src/api/schemas/telegram.py:57: unused class 'Config' (60% confidence)
src/api/schemas/telegram.py:58: unused variable 'json_schema_extra' (60% confidence)
src/api/schemas/telegram.py:80: unused variable 'observaciones' (60% confidence)
src/api/schemas/telegram.py:82: unused function 'uppercase_codigo' (60% confidence)
src/api/schemas/telegram.py:83: unused variable 'cls' (100% confidence)
src/api/schemas/telegram.py:86: unused class 'Config' (60% confidence)
src/api/schemas/telegram.py:87: unused variable 'json_schema_extra' (60% confidence)
src/api/schemas/telegram.py:98: unused variable 'success' (60% confidence)
src/api/schemas/telegram.py:102: unused variable 'finalized_at' (60% confidence)
src/api/schemas/telegram.py:104: unused class 'Config' (60% confidence)
src/api/schemas/telegram.py:105: unused variable 'json_schema_extra' (60% confidence)
src/api/schemas/telegram.py:121: unused variable 'last_name' (60% confidence)
src/api/schemas/telegram.py:123: unused class 'Config' (60% confidence)
src/api/schemas/telegram.py:124: unused variable 'json_schema_extra' (60% confidence)
src/api/schemas/telegram.py:136: unused variable 'authenticated' (60% confidence)
src/api/schemas/telegram.py:143: unused class 'Config' (60% confidence)
src/api/schemas/telegram.py:144: unused variable 'json_schema_extra' (60% confidence)
src/api/schemas/telegram.py:165: unused class 'Config' (60% confidence)
src/api/schemas/telegram.py:166: unused variable 'json_schema_extra' (60% confidence)
src/api/schemas/telegram.py:188: unused variable 'success' (60% confidence)
src/api/schemas/telegram.py:194: unused class 'Config' (60% confidence)
src/api/schemas/telegram.py:195: unused variable 'json_schema_extra' (60% confidence)
src/api/utils/logging.py:78: unused attribute '__signature__' (60% confidence)
